Wavelength	Excitation	Emission
250	0.279	0
250.5	0.289	0
251	0.297	0
251.5	0.304	0
252	0.31	0
252.5	0.314	0
253	0.318	0
253.5	0.32	0
254	0.32	0
254.5	0.32	0
255	0.318	0
255.5	0.315	0
256	0.31	0
256.5	0.304	0
257	0.295	0
257.5	0.286	0
258	0.277	0
258.5	0.266	0
259	0.254	0
259.5	0.24	0
260	0.227	0
260.5	0.212	0
261	0.198	0
261.5	0.184	0
262	0.17	0
262.5	0.158	0
263	0.148	0
263.5	0.139	0
264	0.13	0
264.5	0.122	0
265	0.115	0
265.5	0.109	0
266	0.104	0
266.5	0.1	0
267	0.096	0
267.5	0.094	0
268	0.091	0
268.5	0.089	0
269	0.086	0
269.5	0.086	0
270	0.087	0
270.5	0.086	0
271	0.086	0
271.5	0.087	0
272	0.088	0
272.5	0.088	0
273	0.09	0
273.5	0.091	0
274	0.093	0
274.5	0.095	0
275	0.097	0
275.5	0.098	0
276	0.099	0
276.5	0.101	0
277	0.103	0
277.5	0.104	0
278	0.105	0
278.5	0.108	0
279	0.108	0
279.5	0.109	0
280	0.109	0
280.5	0.109	0
281	0.109	0
281.5	0.109	0
282	0.109	0
282.5	0.11	0
283	0.11	0
283.5	0.111	0
284	0.11	0
284.5	0.111	0
285	0.11	0
285.5	0.11	0
286	0.109	0
286.5	0.108	0
287	0.107	0
287.5	0.107	0
288	0.107	0
288.5	0.107	0
289	0.107	0
289.5	0.107	0
290	0.106	0
290.5	0.107	0
291	0.106	0
291.5	0.105	0
292	0.105	0
292.5	0.104	0
293	0.104	0
293.5	0.104	0
294	0.103	0
294.5	0.104	0
295	0.103	0
295.5	0.103	0
296	0.103	0
296.5	0.103	0
297	0.102	0
297.5	0.102	0
298	0.101	0
298.5	0.1	0
299	0.1	0
299.5	0.099	0
300	0.098	0
300.5	0.098	0
301	0.097	0
301.5	0.095	0
302	0.095	0
302.5	0.094	0
303	0.093	0
303.5	0.092	0
304	0.091	0
304.5	0.09	0
305	0.088	0
305.5	0.087	0
306	0.085	0
306.5	0.084	0
307	0.082	0
307.5	0.08	0
308	0.078	0
308.5	0.077	0
309	0.075	0
309.5	0.073	0
310	0.071	0
310.5	0.069	0
311	0.067	0
311.5	0.065	0
312	0.063	0
312.5	0.06	0
313	0.058	0
