Wavelength	Excitation	Emission
300	100	0
301	98.4361225	0
302	96.90017139	0
303	95.52712418	0
304	94.10753301	0
305	92.76706658	0
306	91.44521774	0
307	90.18853047	0
308	88.93649759	0
309	87.76358947	0
310	86.57206376	0
311	85.51086117	0
312	84.52878334	0
313	83.47223515	0
314	82.48550292	0
315	81.55462346	0
316	80.58650882	0
317	79.73009971	0
318	78.8876538	0
319	78.00797271	0
320	77.21207077	0
321	76.41151443	0
322	75.65750207	0
323	74.9034897	0
324	74.20067571	0
325	73.41873696	0
326	72.77177573	0
327	71.33822136	0
328	71.07757511	0
329	70.65402496	0
330	70.09084288	0
331	69.39733768	0
332	68.78761164	0
333	68.21046637	0
334	67.61470351	0
335	66.95843349	0
336	66.41386901	0
337	65.82741495	0
338	65.30612245	0
339	64.66381562	0
340	64.11459674	0
341	63.58399544	0
342	63.08132053	0
343	62.56933683	0
344	62.08993391	0
345	61.5779502	0
346	61.05200331	0
347	60.5539828	0
348	60.07457987	0
349	59.63241213	0
350	59.10181083	0
351	58.59913592	0
352	58.08715222	0
353	57.6124037	0
354	57.12834637	0
355	56.64428905	0
356	56.29520926	0
357	55.75529917	0
358	55.28985944	0
359	54.81976531	0
360	54.41483274	0
361	53.99128259	0
362	53.51653406	0
363	53.0976383	0
364	52.64150737	0
365	52.20399402	0
366	51.77113507	0
367	51.40343768	0
368	51.01246831	0
369	50.59822695	0
370	50.20725757	0
371	49.84886898	0
372	49.41135563	0
373	49.10416541	0
374	48.70854164	0
375	48.34084425	0
376	47.98711006	0
377	47.58683189	0
378	47.2237889	0
379	46.76765796	0
380	46.48839412	0
381	45.94848404	0
382	45.75765375	0
383	45.315486	0
384	44.93847982	0
385	44.64059839	0
386	44.2822098	0
387	43.90939257	0
388	43.5840502	0
389	43.21169842	0
390	42.93243458	0
391	42.60197237	0
392	42.2063486	0
393	41.87588639	0
394	41.49376037	0
395	41.13583722	0
396	40.86588217	0
397	40.44233202	0
398	40.13514179	0
399	39.74370698	0
400	39.47840633	0
401	39.12048318	0
402	38.79420993	0
403	38.45490437	0
404	38.10582457	0
405	37.84983272	0
406	37.49563308	0
407	37.24010667	0
408	36.90964446	0
409	36.658307	0
410	36.35577118	0
411	36.08116174	0
412	35.82051549	0
413	35.54544061	0
414	35.23406143	0
415	34.97806958	0
416	34.68484254	0
417	34.42885069	0
418	34.14027806	0
419	33.82843344	0
420	33.53008657	0
421	33.26059697	0
422	32.98086769	0
423	32.66948851	0
424	32.3390263	0
425	32.06395142	0
426	31.75722664	0
427	31.4733084	0
428	31.14703515	0
429	30.83565597	0
430	30.52846575	0
431	30.1975381	0
432	29.92804849	0
433	29.51846153	0
434	29.26246968	0
435	28.91338988	0
436	28.61550845	0
437	28.30831823	0
438	27.99647361	0
439	27.67997459	0
440	27.38209316	0
441	27.11213812	0
442	26.84218308	0
443	26.56757364	0
444	26.24642022	0
445	26.06955312	0
446	25.78563489	0
447	25.50171665	0
448	25.2503792	0
449	24.99904174	0
450	24.74304989	0
451	24.52114465	0
452	24.27222566	0
453	24.02695717	0
454	23.78419841	0
455	23.53687652	0
456	23.29023909	0
457	23.03561618	0
458	22.78051414	0
459	22.51975381	0
460	22.25166965	0
461	21.98267287	0
462	21.70546244	0
463	21.42368887	0
464	21.13096379	0
465	20.83253478	0
466	20.52840186	0
467	20.22472525	0
468	19.91237869	0
469	19.59957581	0
470	19.29019528	0
471	18.98880024	0
472	18.6821576	0
473	18.39171408	0
474	18.10195503	0
475	17.81995331	0
476	17.5468497	0
477	17.28355684	0
478	17.02824945	0
479	16.77682074	0
480	16.54067852	0
481	16.30818681	0
482	16.08162718	0
483	15.85757727	0
484	15.64561966	0
485	15.43617179	0
486	15.23425308	0
487	15.03301884	0
488	14.84478954	0
489	14.66180784	0
490	14.48384559	0
491	14.3129562	0
492	14.15415911	0
493	14.00197858	0
494	13.8552738	0
495	13.71997686	0
496	13.59175277	0
497	13.47379574	0
498	13.36017369	0
499	13.25932842	0
500	13.16738125	0
501	13.08113801	0
502	13.00082684	0
503	12.93260798	0
504	12.86986488	0
505	12.80666546	0
506	12.74871365	0
507	12.69578129	0
508	12.64627128	0
509	12.59605398	0
510	12.54451338	0
511	12.49728493	0
512	12.44458073	0
513	12.38982311	0
514	12.33415287	0
515	12.27277871	0
516	12.20843851	0
517	12.13930702	0
518	12.06857844	0
519	11.98963621	0
520	11.90384928	0
521	11.81441184	0
522	11.72314915	0
523	11.62504175	0
524	11.51961053	0
525	11.41285599	0
526	11.29877763	0
527	11.1808206	0
528	11.05807228	0
529	10.9350958	0
530	10.80664356	0
531	10.67590975	0
532	10.53833124	0
533	10.40440324	0
534	10.26363054	0
535	10.12034811	0
536	9.975924902	0
537	9.832186161	0
538	9.687306637	0
539	9.544252367	0
540	9.401198097	0
541	9.261566177	0
542	9.126269236	0
543	8.990287824	0
544	8.864801622	0
545	8.73863095	0
546	8.618164196	0
547	8.504085831	0
548	8.394342443	0
549	8.288934034	0
550	8.183525624	0.00753237
551	8.084733759	0.01881987
552	7.990505029	0.012955485
553	7.898101553	0.01629184
554	7.807751488	0.015749528
555	7.717857736	0.018828138
556	7.630017395	0.015597727
557	7.545371248	0.009413781
558	7.45935616	0.015775197
559	7.37562264	0.020149451
560	7.293714373	0.012047947
561	7.214315831	0.027819683
562	7.141990147	0.022992236
563	7.071261561	0.015662331
564	7.007149519	0.022629798
565	6.946916142	0.014328328
566	6.890105116	0.017388383
567	6.838769852	0.022296682
568	6.794507446	0.025864824
569	6.757546056	0.031477329
570	6.724007016	0.022611532
571	6.697768992	0.029714168
572	6.675637789	0.042354322
573	6.660807602	0.043986736
574	6.646661885	0.045799696
575	6.638220085	0.030471731
576	6.633885108	0.04167463
577	6.627040406	0.043020555
578	6.622705428	0.044233809
579	6.616088883	0.058519837
580	6.60582183	0.050250092
581	6.593729523	0.075557319
582	6.575020671	0.075227567
583	6.556539976	0.104038043
584	6.529389325	0.097878515
585	6.494937658	0.106082887
586	6.461854932	0.119685377
587	6.420102251	0.135504797
588	6.378121412	0.160341911
589	6.33568426	0.175709485
590	6.294159735	0.20033029
591	6.253091524	0.206867638
592	6.215217506	0.237659506
593	6.18213478	0.2614468
594	6.154071502	0.29544966
595	6.13262477	0.335545713
596	6.116653799	0.391775555
597	6.104789649	0.447342049
598	6.098629417	0.491054793
599	6.098173103	0.583416941
600	6.098173103	0.657026514
601	6.103877022	0.758666889
602	6.114372231	0.841334534
603	6.123042187	0.937633511
604	6.129886889	1.086498531
605	6.135134494	1.2209487
606	6.132168456	1.400367168
607	6.127833478	1.513520965
608	6.114600388	1.767908391
609	6.092925499	1.942778596
610	6.057104892	2.187911829
611	6.007138568	2.414309793
612	5.947589661	2.653644014
613	5.873210567	2.926234107
614	5.782404188	3.272735645
615	5.674714211	3.515946129
616	5.559038748	3.802374249
617	5.423057337	4.125174057
618	5.286391455	4.581089645
619	5.133298288	4.942951066
620	4.978836182	5.349396237
621	4.81775753	5.838117775
622	4.659644915	6.287828651
623	4.506779905	6.862083691
624	4.35847803	7.426786513
625	4.217020857	8.126417307
626	4.082864699	8.925953193
627	3.965363983	9.830378901
628	3.856989536	10.81219238
629	3.765955	11.89386578
630	3.68290595	13.14427484
631	3.618565752	14.70075676
632	3.562667353	16.20762693
633	3.523880709	18.21668654
634	3.49444849	20.31653645
635	3.479390146	23.00909114
636	3.470492034	25.82703601
637	3.470263877	29.00352555
638	3.478933833	32.28217654
639	3.488288259	36.12926721
640	3.499011625	40.7001509
641	3.510191305	45.38538722
642	3.520458358	50.58312949
643	3.525934119	55.77201077
644	3.517720477	61.69325573
645	3.498783468	66.61404518
646	3.466157056	72.19118627
647	3.413681008	77.48896823
648	3.346146615	83.19833582
649	3.249180005	87.36804844
650	3.142174498	91.82962576
651	3.009159124	94.97618771
652	2.867701951	97.46818715
653	2.706166985	99.18747979
654	2.538471788	100
655	2.362106635	99.93511586
656	2.17889678	99.53543781
657	2.002531627	98.02094297
658	1.826850944	95.99912496
659	1.657786807	93.76525557
660	1.489635296	90.75799393
661	1.341333421	87.42246802
662	1.19554127	84.01786349
663	1.067317187	80.12863962
664	0.941374672	75.7187833
665	0.831631284	72.00030245
666	0.731242323	67.60490232
667	0.642261197	63.90186403
668	0.562862655	59.74274479
669	0.492362225	56.44174858
670	0.427565714	52.11351585
671	0.373492568	49.04183537
